axis,size,objective,seed,dir1_auc,mag_r2,vol20_r2,regime_bacc,effective_rank,supervised_sharpe
feature,24,contrastive,888,0.497948595146871,0.024377434480449822,-0.15782290005713917,0.6434415144092563,5.204641342163086,0.7696274801588495
feature,24,contrastive,999,0.540720785440613,0.048921411700938666,-0.08628162052498234,0.5858485213323923,5.414175987243652,1.7613076729289154
feature,32,contrastive,20260814,0.5175127713920817,0.016423708760242905,-0.10938726932532816,0.5869556192136837,6.076513767242432,0.8391225268070257
feature,32,contrastive,111,0.5211047254150702,0.04551733827282578,0.16925202133998407,0.6018184082700212,6.366046905517578,1.0900608904064024
feature,32,contrastive,222,0.526500638569604,0.0411882751267042,-0.020466658848215857,0.8463461366687174,5.949287414550781,1.1464183161807864
feature,32,contrastive,333,0.5191890166028097,0.03545627619902858,0.05973110109823643,0.731707409126764,5.768664360046387,1.0402118749924887
feature,32,contrastive,444,0.5230124521072796,0.01730952050411494,-0.12586012891933884,0.6774256451675806,5.910190105438232,1.1398181441079283
feature,32,contrastive,555,0.5305555555555556,0.047603455525003224,0.06046016102516216,0.5889207179529761,5.618322849273682,1.3571637596993076
feature,32,contrastive,666,0.5167265325670498,0.047444919891564075,-0.10171691015767825,0.62229594487659,5.966088771820068,1.2441926599968478
feature,32,contrastive,777,0.5103647828863346,0.03952196979032496,-0.25329822427126825,0.6074331558202526,5.955245018005371,0.7158489996397335
feature,32,contrastive,888,0.514778895274585,0.01922471271441606,-0.14928348999607732,0.6074922849116398,6.248471736907959,0.6271849870163727
feature,32,contrastive,999,0.5057590996168582,-0.006928331419031819,-0.01663365811071582,0.7354577031996388,6.101278781890869,0.8773369521848018
dim,4,auto,20260814,0.49242895913154533,0.09249545708065599,0.2063918815077348,0.5630724985563694,1.599164605140686,0.6444807128624599
dim,4,auto,111,0.4874720625798211,0.06693045542933707,0.11186226978606906,0.41828925699893443,1.9665833711624146,0.8640952504241857
dim,4,auto,222,0.49331497445721584,0.1044333795753315,0.13608352026925896,0.6119986765148056,1.8272037506103516,0.7863757635166201
dim,4,auto,333,0.4934386973180077,0.10210983127937867,0.19483382861501353,0.8082267437106148,1.9265830516815186,0.799430009459408
dim,4,auto,444,0.4947557471264368,0.08058607259254302,0.10590087693188532,0.8023415120189314,2.0225443840026855,0.9342234240762763
dim,4,auto,555,0.5020992975734355,0.0574427456993597,0.1357743276945046,0.765198378101604,2.045988082885742,0.5296743679798619
dim,4,auto,666,0.49991219667943804,0.12249340633679628,0.2877249912504731,0.5726174435851855,2.244363784790039,0.7863757635166201
dim,4,auto,777,0.5173970306513409,0.136883353060278,0.3397196413420519,0.7828465247820087,1.7277724742889404,0.8535507152755489
dim,4,auto,888,0.49860712005108554,0.1239212949229076,0.28423625249222884,0.7356740905128002,1.8918323516845703,1.0152835915529714
dim,4,auto,999,0.4937340357598978,0.06768675629606691,0.06578247371563639,0.8531849822172403,1.928238868713379,0.8199049148762801
dim,8,auto,20260814,0.4962005108556833,0.1179334286356748,0.23390974277997167,0.7068555778233198,2.18131422996521,0.6693231227654465
dim,8,auto,111,0.4990301724137931,0.10274288011421595,0.0206739564825974,0.6572412378863991,2.292027235031128,1.1649799407395904
dim,8,auto,222,0.48511334610472545,0.12319601029746119,0.29156878392473695,0.8577517609775674,2.447216272354126,0.8881330015934513
dim,8,auto,333,0.4954062899106002,0.12696473913065864,0.18306072848545496,0.7465173594205852,2.357389450073242,0.5903184779672928
dim,8,auto,444,0.4928320561941251,0.12251044372124897,0.22955203165370386,0.569694956791731,2.292870044708252,0.7393554836840834
dim,8,auto,555,0.4785600255427842,0.13764262054879672,0.22079890824954063,0.684163845454168,2.5041801929473877,0.717509639649794
dim,8,auto,666,0.4800047892720307,0.10985947938867158,0.2659489966863632,0.8310707020384439,2.417733907699585,0.6952038900142617
dim,8,auto,777,0.4929038952745849,0.10812065263897952,0.20603093914920356,0.5705353447288931,2.1360559463500977,0.711680981340192
dim,8,auto,888,0.4955100574712644,0.09242441927876122,0.13829141004871115,0.5256462998398482,2.275092124938965,0.7863757635166201
dim,8,auto,999,0.4803999042145594,0.13007736265454783,0.2387023677420348,0.6012636012636013,2.370206356048584,0.7545594682547739
dim,16,auto,20260814,0.5210608237547893,0.1265624502973608,0.21315281180439327,0.9224616321390515,3.00870418548584,0.6741970970454066
dim,16,auto,111,0.4900981800766283,0.10600283177969705,0.23573295877587663,0.9090657477754251,2.8315770626068115,0.5683479258627991
dim,16,auto,222,0.522102490421456,0.09184086770278488,0.1540290919288977,0.9008732234538686,2.884725570678711,0.7418441535586565
dim,16,auto,333,0.49842353128991057,0.0797924504792652,0.24100815311611168,0.750216072796718,3.0496206283569336,0.6884336175025275
dim,16,auto,444,0.4951867816091954,0.1143405635756024,0.3203370866050793,0.5991714378811153,2.9063668251037598,0.8517656051156675
dim,16,auto,555,0.5117975734355045,0.13049227599677138,0.19353083341920352,0.5653672105285009,3.0048954486846924,1.1919832290143793
dim,16,auto,666,0.4914311941251597,0.11260847267626883,0.20200057822859452,0.7357860583667035,3.0387001037597656,0.8011442342779652
dim,16,auto,777,0.49699872286079183,0.1252995972338471,0.10339145987367537,0.7348173477205736,3.00274920463562,0.9321748180960641
dim,16,auto,888,0.4925167624521073,0.10583779046121844,0.26907547544260324,0.5738641867674126,3.0181524753570557,0.5785160264565934
dim,16,auto,999,0.49957694763729243,0.06460872625886027,0.19002982813864122,0.922420115968503,3.0406062602996826,0.6939181853846959
dim,32,auto,20260814,0.49770913154533847,0.08717108564159659,0.1538143535974732,0.6883645270742046,3.7929298877716064,1.1212866216858322
