rep,algo,seed,metric,group,value
predictive,CQL,20260814,sharpe_year,2022,-1.2682223649921873
predictive,CQL,20260814,sharpe_year,2023,1.5146199894841121
predictive,CQL,20260814,sharpe_year,2024,1.9027460499196902
predictive,CQL,111,divergence,all,0.49071723222732544
predictive,CQL,111,corr_behavior,all,0.8536799942074287
predictive,CQL,111,action_std,all,0.4656543433666229
predictive,CQL,111,behavior_action_std,all,0.4643709659576416
predictive,CQL,111,js_divergence,all,0.3521351860931551
predictive,CQL,111,sharpe,all,0.5497662111253901
predictive,CQL,111,sharpe_regime,bull,0.6587347328425947
predictive,CQL,111,sharpe_regime,bear,0.35711377262964394
predictive,CQL,111,sharpe_regime,crisis,2.2424917509215296
predictive,CQL,111,sharpe_year,2021,1.7505510034603138
predictive,CQL,111,sharpe_year,2022,-1.142928359862588
predictive,CQL,111,sharpe_year,2023,1.1594118372271254
predictive,CQL,111,sharpe_year,2024,1.8354254161920882
predictive,CQL,222,divergence,all,0.9129838943481445
predictive,CQL,222,corr_behavior,all,0.5882519711823098
predictive,CQL,222,action_std,all,0.10431083291769028
predictive,CQL,222,behavior_action_std,all,0.4643709659576416
predictive,CQL,222,js_divergence,all,0.7068444324355152
predictive,CQL,222,sharpe,all,0.7937643813698395
predictive,CQL,222,sharpe_regime,bull,0.9500506189859675
predictive,CQL,222,sharpe_regime,bear,0.5481898780772256
predictive,CQL,222,sharpe_regime,crisis,-0.8069838492261977
predictive,CQL,222,sharpe_year,2021,1.9165984081904992
predictive,CQL,222,sharpe_year,2022,-0.9441219692777557
predictive,CQL,222,sharpe_year,2023,1.7438700624138441
predictive,CQL,222,sharpe_year,2024,1.8035074398689646
contrastive,BC,20260814,divergence,all,0.06563583016395569
contrastive,BC,20260814,corr_behavior,all,0.8981389982053128
contrastive,BC,20260814,action_std,all,0.16763658821582794
contrastive,BC,20260814,behavior_action_std,all,0.4643709659576416
contrastive,BC,20260814,js_divergence,all,0.431519653566945
contrastive,BC,20260814,sharpe,all,0.6036568627300597
contrastive,BC,20260814,sharpe_regime,bull,0.4070266450095488
contrastive,BC,20260814,sharpe_regime,bear,0.9522195157781823
contrastive,BC,20260814,sharpe_regime,crisis,4.520297445807675
contrastive,BC,20260814,sharpe_year,2021,2.1455134020277855
contrastive,BC,20260814,sharpe_year,2022,-0.2252694691810488
contrastive,BC,20260814,sharpe_year,2023,0.5773473979244658
contrastive,BC,20260814,sharpe_year,2024,1.1392312674913925
contrastive,BC,111,divergence,all,0.06323649734258652
contrastive,BC,111,corr_behavior,all,0.8997962578021821
contrastive,BC,111,action_std,all,0.1628451645374298
contrastive,BC,111,behavior_action_std,all,0.4643709659576416
contrastive,BC,111,js_divergence,all,0.45136731099363825
contrastive,BC,111,sharpe,all,0.7236840446292794
contrastive,BC,111,sharpe_regime,bull,0.5921086800334574
contrastive,BC,111,sharpe_regime,bear,0.9695033546828422
contrastive,BC,111,sharpe_regime,crisis,4.710890211901859
contrastive,BC,111,sharpe_year,2021,2.2402100068619433
contrastive,BC,111,sharpe_year,2022,-0.31878350998317523
contrastive,BC,111,sharpe_year,2023,0.831876882710375
contrastive,BC,111,sharpe_year,2024,1.411064880563849
contrastive,BC,222,divergence,all,0.060998253524303436
contrastive,BC,222,corr_behavior,all,0.9195414847354031
