model,feature,lag,ik,da,dh,dh_rel
TACR,ret_1d,18,7.640139898512643e-08,0.00019364948093425483,0.007607981562614441,0.0036301198637831407
TACR,ret_1d,19,1.2530693993539899e-07,0.00024364098499063402,0.00912531465291977,0.004354109656050723
TACR,ret_1d,20,1.1505144357215613e-06,0.000766833545640111,0.02106781303882599,0.01005242796256596
TACR,ret_5d,1,0.00044635048834607005,0.013956152833998203,0.477405846118927,0.22779240864602784
TACR,ret_5d,2,1.3653495223309164e-08,5.8667708799475804e-05,0.0032846187241375446,0.0015672435030649932
TACR,ret_5d,3,2.3245389613180123e-08,6.666655099252239e-05,0.0034064536448568106,0.0016253765784629132
TACR,ret_5d,4,2.2531816412652006e-08,6.838580156909302e-05,0.00363960862159729,0.0017366256010111036
TACR,ret_5d,5,1.6741886099680414e-08,6.734838098054752e-05,0.0038142248522490263,0.0018199430804517317
TACR,ret_5d,6,1.7568208221518944e-08,6.993726128712296e-05,0.003913302440196276,0.0018672175798840666
TACR,ret_5d,7,1.5670376996013147e-08,6.655742618022487e-05,0.003907546401023865,0.0018644711073848217
TACR,ret_5d,8,1.4778686718841527e-08,6.506537465611473e-05,0.004151531029492617,0.0019808874576313124
TACR,ret_5d,9,1.6655103962648354e-08,7.104694668669254e-05,0.004412567242980003,0.0021054399077060815
TACR,ret_5d,10,1.3630160111688383e-08,6.581197521882132e-05,0.0043472726829349995,0.0020742848533114836
TACR,ret_5d,11,2.1892326174111076e-08,7.259845733642578e-05,0.004710453096777201,0.0022475750254254785
TACR,ret_5d,12,1.8486218777979957e-08,7.331063534365967e-05,0.0049823010340332985,0.002377286248939894
TACR,ret_5d,13,1.7275361585689097e-08,7.312918751267716e-05,0.00514577329158783,0.002455286423420108
TACR,ret_5d,14,3.871504716812524e-08,7.939134957268834e-05,0.005337842740118504,0.002546931640301716
TACR,ret_5d,15,2.126472864460993e-08,7.9628276580479e-05,0.005765311419963837,0.0027508967173830072
TACR,ret_5d,16,2.4334779524792793e-08,7.631530024809763e-05,0.005807143170386553,0.002770856580179275
TACR,ret_5d,17,3.244489832354702e-08,8.202274329960346e-05,0.005911167711019516,0.002820491499528747
TACR,ret_5d,18,3.239093615547972e-08,9.326040890300646e-05,0.006852827966213226,0.003269801157968442
TACR,ret_5d,19,5.939703129342888e-08,0.0001209375259350054,0.008433246053755283,0.004023891720025096
TACR,ret_5d,20,3.1600751526639215e-07,0.00037304844590835273,0.019859718158841133,0.009475990022348257
TACR,ret_20d,1,0.00035635949461720884,0.012523149140179157,0.4292854964733124,0.20483196432014716
TACR,ret_20d,2,1.0254001203691132e-08,5.818083809572272e-05,0.0033890351187437773,0.0016170653940679003
TACR,ret_20d,3,9.846839787996942e-09,6.163040961837396e-05,0.003559571923688054,0.0016984363908348259
TACR,ret_20d,4,1.1437007785275455e-08,6.359149847412482e-05,0.003874845802783966,0.0018488681396000976
TACR,ret_20d,5,1.2939117333132799e-08,6.16219622315839e-05,0.003943799063563347,0.0018817689293257015
TACR,ret_20d,6,1.063119725586148e-08,5.971064092591405e-05,0.003967234864830971,0.0018929512339889163
TACR,ret_20d,7,1.0288516705259099e-08,5.8671434089774266e-05,0.004195720423012972,0.002001972260987703
TACR,ret_20d,8,9.012985024980935e-09,5.487839371198788e-05,0.00428797397762537,0.0020459906985124104
TACR,ret_20d,9,8.867078626906277e-09,5.746026727138087e-05,0.0042825136333703995,0.002043385315733821
TACR,ret_20d,10,8.115619287707432e-09,5.65851223655045e-05,0.004384485073387623,0.002092040605826018
TACR,ret_20d,11,1.0788904880598693e-08,6.19973725406453e-05,0.0046285828575491905,0.0022085109478868696
TACR,ret_20d,12,1.0361131508318522e-08,6.471489905379713e-05,0.00459233159199357,0.0021912137925115993
TACR,ret_20d,13,1.2153848594209649e-08,6.736398063367233e-05,0.00466375844553113,0.002225294847742906
TACR,ret_20d,14,1.6452149864676358e-08,7.523914246121421e-05,0.0049235098995268345,0.0023492342796455675
TACR,ret_20d,15,1.807638128070721e-08,7.473777077393606e-05,0.004983624443411827,0.002377917708760528
TACR,ret_20d,16,2.4688421973451113e-08,8.319819608004764e-05,0.005168913397938013,0.0024663276383626673
TACR,ret_20d,17,2.4649388308262132e-08,8.845081174513325e-05,0.005497943609952927,0.0026233231697779225
TACR,ret_20d,18,4.9155424619584664e-08,0.00010170305904466659,0.006032771896570921,0.0028785144805068487
TACR,ret_20d,19,7.465202855883035e-08,0.00013134632899891585,0.007067210040986538,0.0033720927607633106
TACR,ret_20d,20,6.203474072208337e-07,0.0003730833122972399,0.01847527176141739,0.008815406617108787
TACR,rv20,1,0.00012874091044068336,0.006780319381505251,0.28686341643333435,0.1368758030782462
TACR,rv20,2,1.101102320433256e-08,7.296100375242531e-05,0.002456627320498228,0.0011721705107534985
TACR,rv20,3,1.1440565828024774e-08,7.033278234302998e-05,0.002641889965161681,0.001260567886703328
