representation,rep,seed,target,family,val_accuracy,val_balanced_accuracy,val_auc,val_log_loss,test_accuracy,test_balanced_accuracy,test_auc,test_log_loss,val_r2,val_mae,val_spearman,test_r2,test_mae,test_spearman
replab auto (128d),auto,111,magnitude_1,gbdt,,,,,,,,,0.2247309675807339,0.670065643399951,0.4251284544245216,-0.0047545470968131,0.5426029485710032,0.3368484495281724
replab auto (128d),auto,111,magnitude_1,mlp,,,,,,,,,0.3046722461019578,0.6577652429311813,0.3853599424855517,0.0475923318725,0.5444108866758214,0.2797791031963842
replab auto (128d),auto,111,vol_20,linear,,,,,,,,,-0.3546374489509132,0.8117519571531354,0.2249996738804316,-0.0649037868314235,0.4129127073775742,0.3638814769908596
replab auto (128d),auto,111,vol_20,gbdt,,,,,,,,,0.0488825221404182,0.7877314243811326,0.3709274654173493,0.212717148168582,0.384929745370577,0.5335791209406623
replab auto (128d),auto,111,vol_20,mlp,,,,,,,,,-0.1320793694412523,0.7990938845043727,0.2638560750484987,-0.1561993366840441,0.456624157863409,0.2969952116557646
replab auto (128d),auto,222,direction_1,linear,0.5524752475247525,0.5310853530031612,0.530813934923524,0.7160174034017079,0.5209163346613546,0.5056433588761174,0.5026939655172413,0.7112861811875417,,,,,,
replab auto (128d),auto,222,direction_1,gbdt,0.5247524752475248,0.5092840949005333,0.5002235207714659,0.7611909895360224,0.5547808764940239,0.5486510217113665,0.550522828863346,0.7299028371736759,,,,,,
replab auto (128d),auto,222,direction_1,mlp,0.5366336633663367,0.5176341922917265,0.5207235686687741,0.6985589033557152,0.5448207171314741,0.5298371647509579,0.525941890166028,0.7088019119823992,,,,,,
replab auto (128d),auto,222,magnitude_1,linear,,,,,,,,,0.2065112272785696,0.6791193157784,0.3650399907624302,-0.0043707434212987,0.5357220475748529,0.3373117619766962
replab auto (128d),auto,222,magnitude_1,gbdt,,,,,,,,,0.2843896142051443,0.6694539795642044,0.4115277306813228,0.029900926096677,0.5393202638969082,0.3564239088538745
replab auto (128d),auto,222,magnitude_1,mlp,,,,,,,,,0.2355194088259462,0.6689691271801367,0.3508580287576436,0.1064671706993699,0.526076906928953,0.3130643578364755
replab auto (128d),auto,222,vol_20,linear,,,,,,,,,-0.0135176155011422,0.7428647413879121,0.347247923550119,-0.102622550689525,0.4218660048495672,0.4015878859687476
replab auto (128d),auto,222,vol_20,gbdt,,,,,,,,,0.154345495074399,0.7341046313941679,0.3255982430541191,0.2646252655633436,0.3697901166429514,0.5240880561110469
replab auto (128d),auto,222,vol_20,mlp,,,,,,,,,-0.3682524588184808,0.8996491100741616,0.1068177625215938,-0.3717965285678462,0.4940419432046412,0.2816274318106079
replab auto (128d),auto,333,direction_1,linear,0.5504950495049505,0.530406807804068,0.5496375770348374,0.7066479303098567,0.5029880478087649,0.4877634099616858,0.4832215836526181,0.7157197521640984,,,,,,
replab auto (128d),auto,333,direction_1,gbdt,0.5564356435643565,0.5426046556183542,0.544017626209407,0.7304663319015829,0.4940239043824701,0.4844348659003832,0.4881146232439336,0.7582925019191836,,,,,,
replab auto (128d),auto,333,direction_1,mlp,0.5346534653465347,0.5158859405434748,0.5312290449276751,0.6880742632203469,0.5179282868525896,0.5018039591315453,0.5062400223499361,0.6998107585859489,,,,,,
replab auto (128d),auto,333,magnitude_1,linear,,,,,,,,,0.1033391571133636,0.709228423969311,0.3444851863560236,-0.064883426460605,0.5544230381229144,0.2383010397904847
replab auto (128d),auto,333,magnitude_1,gbdt,,,,,,,,,0.1558582119825036,0.6826220295062849,0.4354710572486844,0.0862861078432493,0.5268421393381547,0.3609922636235678
replab auto (128d),auto,333,magnitude_1,mlp,,,,,,,,,0.232353073686339,0.659316028810704,0.3990493707534429,0.0457383812319109,0.5268354185112617,0.2937227572017927
replab auto (128d),auto,333,vol_20,linear,,,,,,,,,-0.0912700843754439,0.7699105864342196,0.2591409451504157,-0.0757469103480699,0.4454954943066809,0.3321221001411114
